CountryA2	CountryName	Category	ISO2	Region	Language	Parent	ChangeDate
AD	Andorra	parish	AD-02	Canillo	ca		2015-11-27	
AD	Andorra	parish	AD-03	Encamp	ca		2015-11-27	
AD	Andorra	parish	AD-04	La Massana	ca		2015-11-27	
AD	Andorra	parish	AD-05	Ordino	ca		2015-11-27	
AD	Andorra	parish	AD-06	Sant Julià de Lòria	ca		2015-11-27	
AD	Andorra	parish	AD-07	Andorra la Vella	ca		2015-11-27	
AD	Andorra	parish	AD-08	Escaldes-Engordany	ca		2015-11-27	
AE	United Arab Emirates	emirate	AE-AJ	‘Ajmān	ar		2015-11-27	
AE	United Arab Emirates	emirate	AE-AZ	Abū Z̧aby	ar		2015-11-27	
AE	United Arab Emirates	emirate	AE-DU	Dubayy	ar		2015-11-27	
AE	United Arab Emirates	emirate	AE-FU	Al Fujayrah	ar		2015-11-27	
AE	United Arab Emirates	emirate	AE-RK	Ra’s al Khaymah	ar		2015-11-27	
AE	United Arab Emirates	emirate	AE-SH	Ash Shāriqah	ar		2015-11-27	
AE	United Arab Emirates	emirate	AE-UQ	Umm al Qaywayn	ar		2015-11-27	
AF	Afghanistan	province	AF-BAL	Balkh	fa		2015-11-27	
AF	Afghanistan	province	AF-BAL	Balkh	ps		2015-11-27	
AF	Afghanistan	province	AF-BAM	Bāmyān	fa		2015-11-27	
AF	Afghanistan	province	AF-BAM	Bāmyān	ps		2015-11-27	
AF	Afghanistan	province	AF-BDG	Bādghīs	fa		2015-11-27	
AF	Afghanistan	province	AF-BDG	Bādghīs	ps		2015-11-27	
AF	Afghanistan	province	AF-BDS	Badakhshān	fa		2015-11-27	
AF	Afghanistan	province	AF-BDS	Badakhshān	ps		2015-11-27	
AF	Afghanistan	province	AF-BGL	Baghlān	fa		2015-11-27	
AF	Afghanistan	province	AF-BGL	Baghlān	ps		2015-11-27	
AF	Afghanistan	province	AF-DAY	Dāykundī	fa		2015-11-27	
AF	Afghanistan	province	AF-DAY	Dāykundī	ps		2015-11-27	
AF	Afghanistan	province	AF-FRA	Farāh	fa		2015-11-27	
AF	Afghanistan	province	AF-FRA	Farāh	ps		2015-11-27	
AF	Afghanistan	province	AF-FYB	Fāryāb	fa		2015-11-27	
AF	Afghanistan	province	AF-FYB	Fāryāb	ps		2015-11-27	
AF	Afghanistan	province	AF-GHA	Ghaznī	fa		2015-11-27	
AF	Afghanistan	province	AF-GHA	Ghaznī	ps		2015-11-27	
AF	Afghanistan	province	AF-GHO	Ghōr	fa		2015-11-27	
AF	Afghanistan	province	AF-GHO	Ghōr	ps		2015-11-27	
AF	Afghanistan	province	AF-HEL	Helmand	fa		2015-11-27	
AF	Afghanistan	province	AF-HEL	Helmand	ps		2015-11-27	
AF	Afghanistan	province	AF-HER	Herāt	fa		2015-11-27	
AF	Afghanistan	province	AF-HER	Herāt	ps		2015-11-27	
AF	Afghanistan	province	AF-JOW	Jowzjān	fa		2015-11-27	
AF	Afghanistan	province	AF-JOW	Jowzjān	ps		2015-11-27	
AF	Afghanistan	province	AF-KAB	Kābul	fa		2015-11-27	
AF	Afghanistan	province	AF-KAB	Kābul	ps		2015-11-27	
AF	Afghanistan	province	AF-KAN	Kandahār	fa		2015-11-27	
AF	Afghanistan	province	AF-KAN	Kandahār	ps		2015-11-27	
AF	Afghanistan	province	AF-KAP	Kāpīsā	fa		2015-11-27	
AF	Afghanistan	province	AF-KAP	Kāpīsā	ps		2015-11-27	
AF	Afghanistan	province	AF-KDZ	Kunduz	fa		2015-11-27	
AF	Afghanistan	province	AF-KDZ	Kunduz	ps		2015-11-27	
AF	Afghanistan	province	AF-KHO	Khōst	fa		2015-11-27	
AF	Afghanistan	province	AF-KHO	Khōst	ps		2015-11-27	
AF	Afghanistan	province	AF-KNR	Kunaṟ	fa		2015-11-27	
AF	Afghanistan	province	AF-KNR	Kunaṟ	ps		2015-11-27	
AF	Afghanistan	province	AF-LAG	Laghmān	fa		2015-11-27	
AF	Afghanistan	province	AF-LAG	Laghmān	ps		2015-11-27	
AF	Afghanistan	province	AF-LOG	Lōgar	fa		2015-11-27	
AF	Afghanistan	province	AF-LOG	Lōgar	ps		2015-11-27	
AF	Afghanistan	province	AF-NAN	Nangarhār	fa		2015-11-27	
AF	Afghanistan	province	AF-NAN	Nangarhār	ps		2015-11-27	
AF	Afghanistan	province	AF-NIM	Nīmrōz	fa		2015-11-27	
AF	Afghanistan	province	AF-NIM	Nīmrōz	ps		2015-11-27	
AF	Afghanistan	province	AF-NUR	Nūristān	fa		2015-11-27	
AF	Afghanistan	province	AF-NUR	Nūristān	ps		2015-11-27	
AF	Afghanistan	province	AF-PAN	Panjshayr	fa		2015-11-27	
AF	Afghanistan	province	AF-PAN	Panjshayr	ps		2015-11-27	
AF	Afghanistan	province	AF-PAR	Parwān	fa		2015-11-27	
AF	Afghanistan	province	AF-PAR	Parwān	ps		2015-11-27	
AF	Afghanistan	province	AF-PIA	Paktiyā	fa		2015-11-27	
AF	Afghanistan	province	AF-PIA	Paktiyā	ps		2015-11-27	
AF	Afghanistan	province	AF-PKA	Paktīkā	fa		2015-11-27	
AF	Afghanistan	province	AF-PKA	Paktīkā	ps		2015-11-27	
AF	Afghanistan	province	AF-SAM	Samangān	fa		2015-11-27	
AF	Afghanistan	province	AF-SAM	Samangān	ps		2015-11-27	
AF	Afghanistan	province	AF-SAR	Sar-e Pul	fa		2015-11-27	
AF	Afghanistan	province	AF-SAR	Sar-e Pul	ps		2015-11-27	
AF	Afghanistan	province	AF-TAK	Takhār	fa		2015-11-27	
